na_rates,na_rates_actual,grouping_var,value,params,estimates
0,0,mu_1_Truth_1,1,mu_1,Truth
0.005,0.0025,mu_1_Truth_1,1,mu_1,Truth
0.01,0.0125,mu_1_Truth_1,1,mu_1,Truth
0.015,0.0125,mu_1_Truth_1,1,mu_1,Truth
0.02,0.024166666666666666,mu_1_Truth_1,1,mu_1,Truth
0.025,0.0275,mu_1_Truth_1,1,mu_1,Truth
0.03,0.0275,mu_1_Truth_1,1,mu_1,Truth
0.035,0.02666666666666667,mu_1_Truth_1,1,mu_1,Truth
0.04,0.028333333333333332,mu_1_Truth_1,1,mu_1,Truth
0.045,0.04666666666666667,mu_1_Truth_1,1,mu_1,Truth
0.05,0.05,mu_1_Truth_1,1,mu_1,Truth
0.055,0.0525,mu_1_Truth_1,1,mu_1,Truth
0.06,0.06666666666666667,mu_1_Truth_1,1,mu_1,Truth
0.065,0.06333333333333334,mu_1_Truth_1,1,mu_1,Truth
0.07,0.08166666666666667,mu_1_Truth_1,1,mu_1,Truth
0.075,0.06,mu_1_Truth_1,1,mu_1,Truth
0.08,0.08333333333333333,mu_1_Truth_1,1,mu_1,Truth
0.085,0.0925,mu_1_Truth_1,1,mu_1,Truth
0.09,0.09583333333333334,mu_1_Truth_1,1,mu_1,Truth
0.095,0.10166666666666667,mu_1_Truth_1,1,mu_1,Truth
0.1,0.08833333333333333,mu_1_Truth_1,1,mu_1,Truth
0.105,0.105,mu_1_Truth_1,1,mu_1,Truth
0.11,0.11416666666666667,mu_1_Truth_1,1,mu_1,Truth
0.115,0.11333333333333333,mu_1_Truth_1,1,mu_1,Truth
0.12,0.10583333333333333,mu_1_Truth_1,1,mu_1,Truth
0.125,0.12583333333333332,mu_1_Truth_1,1,mu_1,Truth
0.13,0.12916666666666668,mu_1_Truth_1,1,mu_1,Truth
0.135,0.12583333333333332,mu_1_Truth_1,1,mu_1,Truth
0.14,0.14666666666666667,mu_1_Truth_1,1,mu_1,Truth
0.145,0.15166666666666667,mu_1_Truth_1,1,mu_1,Truth
0.15,0.16,mu_1_Truth_1,1,mu_1,Truth
0.155,0.14916666666666667,mu_1_Truth_1,1,mu_1,Truth
0.16,0.15083333333333335,mu_1_Truth_1,1,mu_1,Truth
0.165,0.1575,mu_1_Truth_1,1,mu_1,Truth
0.17,0.1575,mu_1_Truth_1,1,mu_1,Truth
0.17500000000000002,0.155,mu_1_Truth_1,1,mu_1,Truth
0.18,0.1875,mu_1_Truth_1,1,mu_1,Truth
0.185,0.19583333333333333,mu_1_Truth_1,1,mu_1,Truth
0.19,0.185,mu_1_Truth_1,1,mu_1,Truth
0.195,0.1875,mu_1_Truth_1,1,mu_1,Truth
0.2,0.21166666666666667,mu_1_Truth_1,1,mu_1,Truth
0.20500000000000002,0.185,mu_1_Truth_1,1,mu_1,Truth
0.21,0.2125,mu_1_Truth_1,1,mu_1,Truth
0.215,0.235,mu_1_Truth_1,1,mu_1,Truth
0.22,0.21083333333333334,mu_1_Truth_1,1,mu_1,Truth
0.225,0.22583333333333333,mu_1_Truth_1,1,mu_1,Truth
0.23,0.22333333333333333,mu_1_Truth_1,1,mu_1,Truth
0.23500000000000001,0.23666666666666666,mu_1_Truth_1,1,mu_1,Truth
0.24,0.22,mu_1_Truth_1,1,mu_1,Truth
0.245,0.2475,mu_1_Truth_1,1,mu_1,Truth
0.25,0.23833333333333334,mu_1_Truth_1,1,mu_1,Truth
0.255,0.24416666666666667,mu_1_Truth_1,1,mu_1,Truth
0.26,0.26,mu_1_Truth_1,1,mu_1,Truth
0.265,0.24583333333333332,mu_1_Truth_1,1,mu_1,Truth
0.27,0.24833333333333332,mu_1_Truth_1,1,mu_1,Truth
0.275,0.2625,mu_1_Truth_1,1,mu_1,Truth
0.28,0.27666666666666667,mu_1_Truth_1,1,mu_1,Truth
0.28500000000000003,0.2816666666666667,mu_1_Truth_1,1,mu_1,Truth
0.29,0.2758333333333333,mu_1_Truth_1,1,mu_1,Truth
0.295,0.27,mu_1_Truth_1,1,mu_1,Truth
0.3,0.2675,mu_1_Truth_1,1,mu_1,Truth
0.305,0.285,mu_1_Truth_1,1,mu_1,Truth
0.31,0.30416666666666664,mu_1_Truth_1,1,mu_1,Truth
0.315,0.2783333333333333,mu_1_Truth_1,1,mu_1,Truth
0.32,0.3225,mu_1_Truth_1,1,mu_1,Truth
0.325,0.30916666666666665,mu_1_Truth_1,1,mu_1,Truth
0.33,0.3,mu_1_Truth_1,1,mu_1,Truth
0.335,0.31333333333333335,mu_1_Truth_1,1,mu_1,Truth
0.34,0.32,mu_1_Truth_1,1,mu_1,Truth
0.34500000000000003,0.3308333333333333,mu_1_Truth_1,1,mu_1,Truth
0.35000000000000003,0.305,mu_1_Truth_1,1,mu_1,Truth
0.355,0.32416666666666666,mu_1_Truth_1,1,mu_1,Truth
0.36,0.3358333333333333,mu_1_Truth_1,1,mu_1,Truth
0.365,0.32,mu_1_Truth_1,1,mu_1,Truth
0.37,0.32916666666666666,mu_1_Truth_1,1,mu_1,Truth
0.375,0.3475,mu_1_Truth_1,1,mu_1,Truth
0.38,0.3491666666666667,mu_1_Truth_1,1,mu_1,Truth
0.385,0.335,mu_1_Truth_1,1,mu_1,Truth
0.39,0.355,mu_1_Truth_1,1,mu_1,Truth
0.395,0.3541666666666667,mu_1_Truth_1,1,mu_1,Truth
0.4,0.3525,mu_1_Truth_1,1,mu_1,Truth
0.405,0.3675,mu_1_Truth_1,1,mu_1,Truth
0.41000000000000003,0.3566666666666667,mu_1_Truth_1,1,mu_1,Truth
0.41500000000000004,0.3575,mu_1_Truth_1,1,mu_1,Truth
0.42,0.3675,mu_1_Truth_1,1,mu_1,Truth
0.425,0.3625,mu_1_Truth_1,1,mu_1,Truth
0.43,0.36666666666666664,mu_1_Truth_1,1,mu_1,Truth
0.435,0.37166666666666665,mu_1_Truth_1,1,mu_1,Truth
0.44,0.38416666666666666,mu_1_Truth_1,1,mu_1,Truth
0.445,0.37666666666666665,mu_1_Truth_1,1,mu_1,Truth
0.45,0.3908333333333333,mu_1_Truth_1,1,mu_1,Truth
0.455,0.3975,mu_1_Truth_1,1,mu_1,Truth
0.46,0.4008333333333333,mu_1_Truth_1,1,mu_1,Truth
0.465,0.38666666666666666,mu_1_Truth_1,1,mu_1,Truth
0.47000000000000003,0.38916666666666666,mu_1_Truth_1,1,mu_1,Truth
0.47500000000000003,0.4175,mu_1_Truth_1,1,mu_1,Truth
0.48,0.41333333333333333,mu_1_Truth_1,1,mu_1,Truth
0.485,0.4041666666666667,mu_1_Truth_1,1,mu_1,Truth
0.49,0.4141666666666667,mu_1_Truth_1,1,mu_1,Truth
0.495,0.41,mu_1_Truth_1,1,mu_1,Truth
0.5,0.4241666666666667,mu_1_Truth_1,1,mu_1,Truth
0,0,sigma_11_Truth_1,118,sigma_11,Truth
0.005,0.0025,sigma_11_Truth_1,118,sigma_11,Truth
0.01,0.0125,sigma_11_Truth_1,118,sigma_11,Truth
0.015,0.0125,sigma_11_Truth_1,118,sigma_11,Truth
0.02,0.024166666666666666,sigma_11_Truth_1,118,sigma_11,Truth
0.025,0.0275,sigma_11_Truth_1,118,sigma_11,Truth
0.03,0.0275,sigma_11_Truth_1,118,sigma_11,Truth
0.035,0.02666666666666667,sigma_11_Truth_1,118,sigma_11,Truth
0.04,0.028333333333333332,sigma_11_Truth_1,118,sigma_11,Truth
0.045,0.04666666666666667,sigma_11_Truth_1,118,sigma_11,Truth
0.05,0.05,sigma_11_Truth_1,118,sigma_11,Truth
0.055,0.0525,sigma_11_Truth_1,118,sigma_11,Truth
0.06,0.06666666666666667,sigma_11_Truth_1,118,sigma_11,Truth
0.065,0.06333333333333334,sigma_11_Truth_1,118,sigma_11,Truth
0.07,0.08166666666666667,sigma_11_Truth_1,118,sigma_11,Truth
0.075,0.06,sigma_11_Truth_1,118,sigma_11,Truth
0.08,0.08333333333333333,sigma_11_Truth_1,118,sigma_11,Truth
0.085,0.0925,sigma_11_Truth_1,118,sigma_11,Truth
0.09,0.09583333333333334,sigma_11_Truth_1,118,sigma_11,Truth
0.095,0.10166666666666667,sigma_11_Truth_1,118,sigma_11,Truth
0.1,0.08833333333333333,sigma_11_Truth_1,118,sigma_11,Truth
0.105,0.105,sigma_11_Truth_1,118,sigma_11,Truth
0.11,0.11416666666666667,sigma_11_Truth_1,118,sigma_11,Truth
0.115,0.11333333333333333,sigma_11_Truth_1,118,sigma_11,Truth
0.12,0.10583333333333333,sigma_11_Truth_1,118,sigma_11,Truth
