na_rates,na_rates_actual,grouping_var,value,params,estimates
0,0,mu_1_Truth_1,1,mu_1,Truth
0.005,0.0025,mu_1_Truth_1,1,mu_1,Truth
0.01,0.0125,mu_1_Truth_1,1,mu_1,Truth
0.015,0.0125,mu_1_Truth_1,1,mu_1,Truth
0.02,0.024166667,mu_1_Truth_1,1,mu_1,Truth
0.025,0.0275,mu_1_Truth_1,1,mu_1,Truth
0.03,0.0275,mu_1_Truth_1,1,mu_1,Truth
0.035,0.026666667,mu_1_Truth_1,1,mu_1,Truth
0.04,0.028333333,mu_1_Truth_1,1,mu_1,Truth
0.045,0.046666667,mu_1_Truth_1,1,mu_1,Truth
0.05,0.05,mu_1_Truth_1,1,mu_1,Truth
0.055,0.0525,mu_1_Truth_1,1,mu_1,Truth
0.06,0.066666667,mu_1_Truth_1,1,mu_1,Truth
0.065,0.063333333,mu_1_Truth_1,1,mu_1,Truth
0.07,0.081666667,mu_1_Truth_1,1,mu_1,Truth
0.075,0.06,mu_1_Truth_1,1,mu_1,Truth
0.08,0.083333333,mu_1_Truth_1,1,mu_1,Truth
0.085,0.0925,mu_1_Truth_1,1,mu_1,Truth
0.09,0.095833333,mu_1_Truth_1,1,mu_1,Truth
0.095,0.101666667,mu_1_Truth_1,1,mu_1,Truth
0.1,0.088333333,mu_1_Truth_1,1,mu_1,Truth
0.105,0.105,mu_1_Truth_1,1,mu_1,Truth
0.11,0.114166667,mu_1_Truth_1,1,mu_1,Truth
0.115,0.113333333,mu_1_Truth_1,1,mu_1,Truth
0.12,0.105833333,mu_1_Truth_1,1,mu_1,Truth
0.125,0.125833333,mu_1_Truth_1,1,mu_1,Truth
0.13,0.129166667,mu_1_Truth_1,1,mu_1,Truth
0.135,0.125833333,mu_1_Truth_1,1,mu_1,Truth
0.14,0.146666667,mu_1_Truth_1,1,mu_1,Truth
0.145,0.151666667,mu_1_Truth_1,1,mu_1,Truth
0.15,0.16,mu_1_Truth_1,1,mu_1,Truth
0.155,0.149166667,mu_1_Truth_1,1,mu_1,Truth
0.16,0.150833333,mu_1_Truth_1,1,mu_1,Truth
0.165,0.1575,mu_1_Truth_1,1,mu_1,Truth
0.17,0.1575,mu_1_Truth_1,1,mu_1,Truth
0.175,0.155,mu_1_Truth_1,1,mu_1,Truth
0.18,0.1875,mu_1_Truth_1,1,mu_1,Truth
0.185,0.195833333,mu_1_Truth_1,1,mu_1,Truth
0.19,0.185,mu_1_Truth_1,1,mu_1,Truth
0.195,0.1875,mu_1_Truth_1,1,mu_1,Truth
0.2,0.211666667,mu_1_Truth_1,1,mu_1,Truth
0.205,0.185,mu_1_Truth_1,1,mu_1,Truth
0.21,0.2125,mu_1_Truth_1,1,mu_1,Truth
0.215,0.235,mu_1_Truth_1,1,mu_1,Truth
0.22,0.210833333,mu_1_Truth_1,1,mu_1,Truth
0.225,0.225833333,mu_1_Truth_1,1,mu_1,Truth
0.23,0.223333333,mu_1_Truth_1,1,mu_1,Truth
0.235,0.236666667,mu_1_Truth_1,1,mu_1,Truth
0.24,0.22,mu_1_Truth_1,1,mu_1,Truth
0.245,0.2475,mu_1_Truth_1,1,mu_1,Truth
0.25,0.238333333,mu_1_Truth_1,1,mu_1,Truth
0.255,0.244166667,mu_1_Truth_1,1,mu_1,Truth
0.26,0.26,mu_1_Truth_1,1,mu_1,Truth
0.265,0.245833333,mu_1_Truth_1,1,mu_1,Truth
0.27,0.248333333,mu_1_Truth_1,1,mu_1,Truth
0.275,0.2625,mu_1_Truth_1,1,mu_1,Truth
0.28,0.276666667,mu_1_Truth_1,1,mu_1,Truth
0.285,0.281666667,mu_1_Truth_1,1,mu_1,Truth
0.29,0.275833333,mu_1_Truth_1,1,mu_1,Truth
0.295,0.27,mu_1_Truth_1,1,mu_1,Truth
0.3,0.2675,mu_1_Truth_1,1,mu_1,Truth
0.305,0.285,mu_1_Truth_1,1,mu_1,Truth
0.31,0.304166667,mu_1_Truth_1,1,mu_1,Truth
0.315,0.278333333,mu_1_Truth_1,1,mu_1,Truth
0.32,0.3225,mu_1_Truth_1,1,mu_1,Truth
0.325,0.309166667,mu_1_Truth_1,1,mu_1,Truth
0.33,0.3,mu_1_Truth_1,1,mu_1,Truth
0.335,0.313333333,mu_1_Truth_1,1,mu_1,Truth
0.34,0.32,mu_1_Truth_1,1,mu_1,Truth
0.345,0.330833333,mu_1_Truth_1,1,mu_1,Truth
0.35,0.305,mu_1_Truth_1,1,mu_1,Truth
0.355,0.324166667,mu_1_Truth_1,1,mu_1,Truth
0.36,0.335833333,mu_1_Truth_1,1,mu_1,Truth
0.365,0.32,mu_1_Truth_1,1,mu_1,Truth
0.37,0.329166667,mu_1_Truth_1,1,mu_1,Truth
0.375,0.3475,mu_1_Truth_1,1,mu_1,Truth
0.38,0.349166667,mu_1_Truth_1,1,mu_1,Truth
0.385,0.335,mu_1_Truth_1,1,mu_1,Truth
0.39,0.355,mu_1_Truth_1,1,mu_1,Truth
0.395,0.354166667,mu_1_Truth_1,1,mu_1,Truth
0.4,0.3525,mu_1_Truth_1,1,mu_1,Truth
0.405,0.3675,mu_1_Truth_1,1,mu_1,Truth
0.41,0.356666667,mu_1_Truth_1,1,mu_1,Truth
0.415,0.3575,mu_1_Truth_1,1,mu_1,Truth
0.42,0.3675,mu_1_Truth_1,1,mu_1,Truth
0.425,0.3625,mu_1_Truth_1,1,mu_1,Truth
0.43,0.366666667,mu_1_Truth_1,1,mu_1,Truth
0.435,0.371666667,mu_1_Truth_1,1,mu_1,Truth
0.44,0.384166667,mu_1_Truth_1,1,mu_1,Truth
0.445,0.376666667,mu_1_Truth_1,1,mu_1,Truth
0.45,0.390833333,mu_1_Truth_1,1,mu_1,Truth
0.455,0.3975,mu_1_Truth_1,1,mu_1,Truth
0.46,0.400833333,mu_1_Truth_1,1,mu_1,Truth
0.465,0.386666667,mu_1_Truth_1,1,mu_1,Truth
0.47,0.389166667,mu_1_Truth_1,1,mu_1,Truth
0.475,0.4175,mu_1_Truth_1,1,mu_1,Truth
0.48,0.413333333,mu_1_Truth_1,1,mu_1,Truth
0.485,0.404166667,mu_1_Truth_1,1,mu_1,Truth
0.49,0.414166667,mu_1_Truth_1,1,mu_1,Truth
0.495,0.41,mu_1_Truth_1,1,mu_1,Truth
0.5,0.424166667,mu_1_Truth_1,1,mu_1,Truth
0,0,sigma_11_Truth_1,118,sigma_11,Truth
0.005,0.0025,sigma_11_Truth_1,118,sigma_11,Truth
0.01,0.0125,sigma_11_Truth_1,118,sigma_11,Truth
0.015,0.0125,sigma_11_Truth_1,118,sigma_11,Truth
0.02,0.024166667,sigma_11_Truth_1,118,sigma_11,Truth
0.025,0.0275,sigma_11_Truth_1,118,sigma_11,Truth
0.03,0.0275,sigma_11_Truth_1,118,sigma_11,Truth
0.035,0.026666667,sigma_11_Truth_1,118,sigma_11,Truth
0.04,0.028333333,sigma_11_Truth_1,118,sigma_11,Truth
0.045,0.046666667,sigma_11_Truth_1,118,sigma_11,Truth
0.05,0.05,sigma_11_Truth_1,118,sigma_11,Truth
0.055,0.0525,sigma_11_Truth_1,118,sigma_11,Truth
0.06,0.066666667,sigma_11_Truth_1,118,sigma_11,Truth
0.065,0.063333333,sigma_11_Truth_1,118,sigma_11,Truth
0.07,0.081666667,sigma_11_Truth_1,118,sigma_11,Truth
0.075,0.06,sigma_11_Truth_1,118,sigma_11,Truth
0.08,0.083333333,sigma_11_Truth_1,118,sigma_11,Truth
0.085,0.0925,sigma_11_Truth_1,118,sigma_11,Truth
0.09,0.095833333,sigma_11_Truth_1,118,sigma_11,Truth
0.095,0.101666667,sigma_11_Truth_1,118,sigma_11,Truth
0.1,0.088333333,sigma_11_Truth_1,118,sigma_11,Truth
0.105,0.105,sigma_11_Truth_1,118,sigma_11,Truth
0.11,0.114166667,sigma_11_Truth_1,118,sigma_11,Truth
0.115,0.113333333,sigma_11_Truth_1,118,sigma_11,Truth
0.12,0.105833333,sigma_11_Truth_1,118,sigma_11,Truth
0.125,0.125833333,sigma_11_Truth_1,118,sigma_11,Truth
0.13,0.129166667,sigma_11_Truth_1,118,sigma_11,Truth
0.135,0.125833333,sigma_11_Truth_1,118,sigma_11,Truth
0.14,0.146666667,sigma_11_Truth_1,118,sigma_11,Truth
0.145,0.151666667,sigma_11_Truth_1,118,sigma_11,Truth
0.15,0.16,sigma_11_Truth_1,118,sigma_11,Truth
0.155,0.149166667,sigma_11_Truth_1,118,sigma_11,Truth
