result,time,trial,has_solved
'859612437723854169164379528986147352375268914241593786432981675617425893598736241',0:00:00.294511,0,True
'145327698839654127672918543496185372218473956753296481367542819984761235521839764',0:00:16.383612,20,True
'128547639345869217679213548912486375784352196536791482891624753467935821253178964',0:00:01.084870,1,True
'624578139135496827789123456216385794857964213493217685942651378568732941371849562',0:00:00.356713,0,True
'796152384531468927428379651152634798384791265967285143219843576645917832873526419',0:00:00.075564,0,True
'162857493534129678789643521475312986913586742628794135356478219241935867897261354',0:00:51.010262,40,True
'152934687763821549984567321618493275375182496249756813521378964436219758897645132',0:00:04.194334,3,True
'387926415546813972192475836235749168961258743478631529754382691613597284829164357',0:00:02.419353,6,True
'869574132124396758375128694932857416541632879786941325217469583493785261658213947',0:00:05.802592,11,True
'798635421126974583453218679972586314564123897381497256617352948835749162249861735',0:00:00.529429,1,True
'594876123823914756617235894965421378781653942342798561159342687436587219278169435',0:00:25.523111,36,True
