result,time,trial,has_solved
'417369825632158947958724316825437169791586432346912758289643571573291684164875293',0:00:00.331116,0,True
'527316489896542731314987562172453896689271354453698217941825673765134928238769145',0:00:00.352059,0,True
'617459823248736915539128467982564371374291586156873294823647159791385642465912738',0:00:00.270314,0,True
'487312695593684271126597384735849162914265837268731549851476923379128456642953718',0:00:06.463716,8,True
'962314857134587269578296413847962531651873942329145786285639174793451628416728395',0:00:12.092669,11,True
'416837529982465371735129468571298643293746185864351297647913852359682714128574936',0:00:00.252326,0,True
'682154379951763842374892165437528916816937254295416738568271493729345681143689527',0:00:01.692475,2,True
'652481937834679152971325864467812593315794628298563471186937245523146789749258316',0:00:01.391279,1,True
'682153479951764832374892165437528916816947253295316748568271394729435681143689527',0:00:05.291852,3,True
'792351648543786129681429537157648293924137865836295471368572914419863752275914386',0:00:00.558509,1,True
'614382579953764812827591436742635198168279354395418627286157943579843261431926785',0:00:00.544544,1,True
'863521794127496853954387621645839172739142568281765439498653217512974386376218945',0:01:49.374528,101,True
'135426987846957321927381465213748659598163742674295813351674298482539176769812534',0:00:49.669049,25,True
'356871294972643851841952736213465987794318625685297413128736549569184372437529168',0:00:26.794395,15,True
'129576348376428519584391627293815764417263895865749132958632471731984256642157983',0:01:13.473555,108,True
'615382479943765812827491536752634198168279354394518627286157943579843261431926785',0:00:01.456070,3,True
'718435692963278541254961378547612839192387456386549127675893214421756983839124765',0:00:03.162583,5,True
'458276931623891475197534286371452698269783154845169327712948563986315742534627819',0:00:02.761580,2,True
'123759486874261593965384721216543978357896142498127365532478619641932857789615234',0:00:02.787547,2,True
'518476239427359618963821574795248361832617945146935827379564182651782493284193756',0:00:19.164760,49,True
'498716523257839461136425987971382654684157392523694718765241839319578246842963175',0:00:00.290211,0,True
'132479658847563291956281347413725869528196473769348125271854936394617582685932714',0:00:00.461801,1,True
'417369825638125947952748316825437169791856432346912758284693571573281694169574283',0:00:00.537527,0,True
'925371486163498725874562391542689137618753942739124658487915263351246879296837514',0:00:38.703556,48,True
'123456789649837251857291634274518963398672415561943827416725398985364172732189546',0:00:25.500783,20,True
'475691328961832745823754196259143687347586219618927534534269871796318452182475963',0:00:03.726038,5,True
'349526871521897643876413529718369254465281397932745186654178932187932465293654718',0:00:03.217397,10,True
